,id,label,latitude,longitude,updated_at,current_stop_sequence,speed,occupancy_status,direction_id,route_id,trip_id,bearing,stop_id,vehicle_status,last_modified
33,y1819,1819,42.37302,-71.11758,2025-11-11 20:49:00,24.0,,MANY_SEATS_AVAILABLE,0,1,71664861,315.0,,IN_TRANSIT_TO,2025-11-12 01:49:05
34,y1825,1825,42.33407,-71.07395,2025-11-13 13:30:17,6.0,,MANY_SEATS_AVAILABLE,0,1,71468278,315.0,,STOPPED_AT,2025-11-13 18:30:29
35,y1826,1826,42.329908,-71.084378,2025-11-13 21:11:46,24.0,,MANY_SEATS_AVAILABLE,1,1,71466241,210.0,,IN_TRANSIT_TO,2025-11-14 02:11:55
36,y1829,1829,42.32988,-71.084202,2025-11-14 14:01:01,24.0,,MANY_SEATS_AVAILABLE,1,1,71379856,102.0,,IN_TRANSIT_TO,2025-11-14 19:01:09
37,y1830,1830,42.330069,-71.084335,2025-11-12 01:25:54,24.0,,MANY_SEATS_AVAILABLE,1,1,71667179,211.0,,IN_TRANSIT_TO,2025-11-12 06:26:00
38,y1833,1833,42.337647,-71.078503,2025-11-12 10:27:04,17.0,,FEW_SEATS_AVAILABLE,1,1,71466217,139.0,,IN_TRANSIT_TO,2025-11-12 15:27:13
39,y1834,1834,42.329921,-71.084331,2025-11-13 11:53:19,24.0,,MANY_SEATS_AVAILABLE,1,1,71468269,195.0,,IN_TRANSIT_TO,2025-11-13 16:53:30
40,y1835,1835,42.344952,-71.08656,2025-11-14 15:11:40,13.0,,FEW_SEATS_AVAILABLE,1,1,71379887,160.0,,IN_TRANSIT_TO,2025-11-14 20:11:50
41,y1837,1837,42.329791,-71.08419,2025-11-11 23:07:09,24.0,,MANY_SEATS_AVAILABLE,1,1,71665166,100.0,,IN_TRANSIT_TO,2025-11-12 04:07:13
42,y1838,1838,42.372792,-71.116802,2025-11-12 18:47:10,24.0,,MANY_SEATS_AVAILABLE,0,1,71465919,292.0,,IN_TRANSIT_TO,2025-11-12 23:47:21
